circuit_promoter,circuit_rbs,circuit_coding_sequence,circuit_terminator,circuit_architecture,circuit_copy_number,circuit_activator,circuit_repressor,circuit_insulator,circuit_operator,circuit_n_secondary_genes,circuit_secondary_genes,promoter_strength,promoter_noise_sensitivity,promoter_leakiness,promoter_type,promoter_copy_number_effect,promoter_hill_coefficient,promoter_binding_sites,promoter_activation_threshold,promoter_saturation_level,rbs_efficiency,rbs_temperature_sensitivity,rbs_strength_class,rbs_secondary_structure,reporter_signal_strength,reporter_pH_sensitivity,reporter_maturation_time,reporter_gene_type,reporter_temperature_sensitivity,reporter_photobleaching_rate,reporter_quantum_yield,reporter_excitation_wavelength,reporter_emission_wavelength,terminator_efficiency,terminator_stability,terminator_type,terminator_read_through,copy_multiplier,copy_noise_factor,arch_complexity,arch_regulatory_elements,arch_genes,reg_hill_coefficient,reg_binding_affinity,reg_activation_strength,reg_repression_strength,reg_leakage_rate,env_pH_variation,env_temperature_variation,env_immune_signal_level,env_metabolic_flux_noise,env_ionic_strength,env_oxidative_stress,env_transcriptional_bursting,env_translational_variability,env_metabolic_load,env_resource_competition,env_noise_autocorrelation,env_noise_frequency,env_noise_amplitude_modulation,env_intrinsic_noise_level,env_extrinsic_noise_level,env_pH_actual,env_temperature_actual,env_total_stress,env_static_stress,env_dynamic_stress,perf_signal_strength,perf_noise_level,perf_snr,perf_false_positive_rate,perf_sensitivity,perf_response_time,perf_steady_state_protein,perf_background_noise,perf_specificity,perf_precision,perf_recall,perf_f1_score,perf_dynamic_range,perf_response_delay,perf_settling_time,perf_overshoot,perf_noise_power_spectral_density,perf_noise_autocorrelation_time,perf_coefficient_of_variation,perf_signal_mean,perf_signal_std,perf_signal_skewness,perf_signal_kurtosis,perf_confidence_interval_width,sim_simulation_duration,sim_simulation_method,sim_random_seed,sim_transcription_rate,sim_translation_rate,sim_protein_degradation_rate,sim_mRNA_degradation_rate,sim_circuit_complexity,sim_regulatory_interactions,sim_simulation_timesteps,sim_noise_model,sim_stochastic_method,robustness_score,performance_class,noise_tolerance,response_class,dynamic_range_class,multi_objective_score,target_biomarker,target_biomarker_type,target_biomarker_unit,target_biomarker_threshold,target_biomarker_binding_affinity,target_biomarker_molecular_weight,target_biomarker_diffusion_coefficient,target_biomarker_stability_half_life,env_target_biomarker_concentration,circuit_logic_type,circuit_topology,detection_biomarker_present,detection_circuit_detected,detection_true_positive,detection_true_negative,detection_false_positive,detection_false_negative,detection_signal_threshold,detection_accuracy,detection_balanced_accuracy,detection_matthews_correlation,biomarker_binding_fraction,concentration_ratio,conc_category
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.6804984603541122,2.4003816869194137,0.04297541456394527,0.05803225210827039,0.008642614269652679,0.19385154726156825,0.6921399308700329,0.19179805541201367,0.20658908361197278,0.02320945240914678,0.6721514930979355,0.05939321535345923,0.3411053504286575,0.17366522698149156,0.06640445504799528,6.319501539645888,39.40038168691942,0.2337774979552656,0.2040064095415817,0.2256343673887755,867.1531420576232,3.8952265785020668,222.61943550177054,1.0,0.0,79.87987987987988,921.3680089223834,54.21486686476027,0.0,0.0,0.0,0.0,927613.9461800039,79.87987987987988,223.72372372372374,0.006778982119127061,184.8618332107875,495.0,0.4533819653439462,630.1487238017717,285.6980668562268,-0.8422484251119812,-0.5949670513883607,17.707749641705664,300.0,enhanced_biomarker_detection,40000,8671.531420576232,4335.765710288116,0.011160645042165409,0.05240038168691942,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.45248976628415377,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,0.0,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,65.90054660026647,0.0,0.0,0.0,0.0,0.0,
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.24065185159459282,-0.8079800538973905,0.1438510760772493,0.13870556516513066,0.019142345763425914,0.11889193081204213,0.02722912552474841,0.04754435738037091,0.24292443710849185,0.013331929996635716,0.6762595947537264,0.047531980423231666,0.10004574992693796,0.002390272687356345,0.016751275675477465,6.759348148405407,36.19201994610261,0.10730706248124267,0.12367346246702997,0.05836189972884679,718.1530531881011,4.050566307022565,177.29695029137577,1.0,0.0,73.57357357357357,765.1785846573133,47.025531469212154,0.0,0.0,0.0,0.0,771482.433093642,73.57357357357357,221.02102102102103,0.00823840154798886,0.8137709675017526,610.0,0.4374534228059188,537.2768780428715,235.03360929433236,-0.9572442702717171,-0.3829117092373484,14.567534028380125,300.0,enhanced_biomarker_detection,40001,7181.5305318810115,3590.7652659405057,0.012774111303302613,0.04919201994610261,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.4746794508318952,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,0.0,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,59.177230390279846,0.0,0.0,0.0,0.0,0.0,
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.9768982049641013,-4.76064508142766,0.15392287335634425,0.06207479275885406,0.05514540445464244,0.5992948370230589,0.5771938329284025,0.19769473495277112,0.23445245854530491,0.13970754247738118,0.12074098546231307,0.049239541192780345,0.3198649911514837,0.010151338720060705,0.020400447536666647,6.023101795035899,32.23935491857234,0.3472449189603627,0.3872334367832944,0.19660005919343118,868.0582738814782,4.58900565186718,189.1604281481505,1.0,0.0,87.68768768768768,918.1243298925443,50.0660560110662,0.0,0.0,0.0,0.0,926638.3469782195,87.68768768768768,242.94294294294295,0.009273272484426625,34.81791447956282,489.0,0.4674006137087765,603.4236872622147,282.040601752772,-0.725190775609737,-0.7311123092587111,17.481057605991456,300.0,enhanced_biomarker_detection,40002,8680.58273881478,4340.29136940739,0.01124149585517708,0.04523935491857234,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,medium,medium,very_high,0.43212559092306885,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,0.0,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,63.83307296666774,0.0,0.0,0.0,0.0,0.0,
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,0.29416616108726495,0.04863427523014299,0.12040906522468352,0.039168632958722374,0.05287908253245179,0.33361521026269203,0.0600141668918399,0.1663531003951191,0.16190079535414023,0.05487109163784457,0.6665182580944838,0.059571811231711805,0.21636189556517774,0.015058477350339706,0.04418784295148429,7.294166161087265,37.04863427523014,0.1288240733867773,0.14085026326480482,0.08373091243012798,857.8936714599317,7.41733203674086,115.66068058035677,1.0,0.0,80.78078078078079,907.6438646207424,49.75019316081067,0.0,0.0,0.0,0.0,919061.1790953638,80.78078078078079,239.63963963963965,0.01257906864097202,3.6630185518414256,647.0,0.4558188132637204,611.7565419877579,278.85014097517717,-0.8264036956461933,-0.5924320020613916,17.283310798275878,300.0,enhanced_biomarker_detection,40003,8578.936714599316,4289.468357299658,0.010783372659174447,0.050048634275230146,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.4678139354603849,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,0.0,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,72.00218927103325,0.0,0.0,0.0,0.0,0.0,
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.3402492301770561,1.2001908434597068,0.021487707281972634,0.029016126054135196,0.004321307134826339,0.09692577363078413,0.34606996543501645,0.09589902770600683,0.10329454180598639,0.01160472620457339,0.6721514930979355,0.05939321535345923,0.3411053504286575,0.08683261349074578,0.03320222752399764,6.659750769822944,38.20019084345971,0.1168887489776328,0.10200320477079085,0.11281718369438774,977.6854153437877,7.497970148325765,130.39334593271178,1.0,0.0,81.98198198198199,1033.8953368365567,56.209921492769,0.0,0.0,0.0,0.0,1044016.4116160013,81.98198198198199,242.94294294294295,0.00978926436636457,85.20695789353529,445.0,0.45523821444748847,689.5278739698665,313.89943815781487,-0.799911748931125,-0.5854914387487318,19.45568874418693,300.0,enhanced_biomarker_detection,40100,9776.854153437876,4888.427076718938,0.010580322521082704,0.05120019084345971,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.46906009424676165,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,2.7822,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,78.70383193774629,0.0,0.0,0.0,5.151024743700621e-05,0.1,Very Low
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.24065185159459282,-0.8079800538973905,0.1438510760772493,0.13870556516513066,0.019142345763425914,0.11889193081204213,0.02722912552474841,0.04754435738037091,0.24292443710849185,0.013331929996635716,0.6762595947537264,0.047531980423231666,0.10004574992693796,0.002390272687356345,0.016751275675477465,6.759348148405407,36.19201994610261,0.10730706248124267,0.12367346246702997,0.05836189972884679,714.5558683220694,3.004901861017591,237.7967405830983,1.0,0.0,74.47447447447448,761.6862994664043,47.13043114433489,0.0,0.0,0.0,0.0,766382.5132261403,74.47447447447448,221.32132132132134,0.006165548419376727,1.6029992452266044,473.0,0.4391612686997894,533.8773909280161,234.45827233008097,-0.9383287574391816,-0.41869969578369926,14.531874273889347,300.0,enhanced_biomarker_detection,40101,7145.558683220694,3572.779341610347,0.012774111303302613,0.04919201994610261,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.4741861986923297,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,2.7822,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,56.145136727387666,0.0,0.0,0.0,5.151024743700621e-05,0.1,Very Low
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.9768982049641013,-4.76064508142766,0.15392287335634425,0.06207479275885406,0.05514540445464244,0.5992948370230589,0.5771938329284025,0.19769473495277112,0.23445245854530491,0.13970754247738118,0.12074098546231307,0.049239541192780345,0.3198649911514837,0.010151338720060705,0.020400447536666647,6.023101795035899,32.23935491857234,0.3472449189603627,0.3872334367832944,0.19660005919343118,867.1088590479199,4.7833127467843095,181.27789357508632,1.0,0.0,83.78378378378379,919.4040223734083,52.29516332548851,0.0,0.0,0.0,0.0,927960.2679776454,83.78378378378379,228.52852852852854,0.009306295595868158,48.48405697325589,474.0,0.46233484079789255,618.128712412684,285.78243984592456,-0.7701209140531139,-0.704302004189437,17.712979133786344,300.0,enhanced_biomarker_detection,40102,8671.088590479198,4335.544295239599,0.01124149585517708,0.04523935491857234,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,medium,medium,very_high,0.4337197137688488,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,2.7822,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,66.64510156584144,0.0,0.0,0.0,5.151024743700621e-05,0.1,Very Low
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,0.29416616108726495,0.04863427523014299,0.12040906522468352,0.039168632958722374,0.05287908253245179,0.33361521026269203,0.0600141668918399,0.1663531003951191,0.16190079535414023,0.05487109163784457,0.6665182580944838,0.059571811231711805,0.21636189556517774,0.015058477350339706,0.04418784295148429,7.294166161087265,37.04863427523014,0.1288240733867773,0.14085026326480482,0.08373091243012798,843.3830513467226,4.5215269987844895,186.52615622409135,1.0,0.0,79.57957957957959,894.5628117816973,51.17976043497469,0.0,0.0,0.0,0.0,901908.1201276561,79.57957957957959,231.53153153153153,0.00821105935683739,3.936765395391475,650.0,0.45210261261553597,609.922059499997,275.74735659179703,-0.843310725547859,-0.5682768386468324,17.090998229774186,300.0,enhanced_biomarker_detection,40103,8433.830513467226,4216.915256733613,0.010783372659174447,0.050048634275230146,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.4683745021995306,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,2.7822,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,64.74434143132815,0.0,0.0,0.0,5.151024743700621e-05,0.1,Very Low
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.3402492301770561,1.2001908434597068,0.021487707281972634,0.029016126054135196,0.004321307134826339,0.09692577363078413,0.34606996543501645,0.09589902770600683,0.10329454180598639,0.01160472620457339,0.6721514930979355,0.05939321535345923,0.3411053504286575,0.08683261349074578,0.03320222752399764,6.659750769822944,38.20019084345971,0.1168887489776328,0.10200320477079085,0.11281718369438774,1078.3854800280221,7.014709581705716,153.73202090082808,1.0,0.0,83.78378378378379,1147.8060839278887,69.42060389986655,0.0,0.0,0.0,0.0,1161680.8152663521,83.78378378378379,227.32732732732734,0.012088044777549068,66.6714255144477,479.0,0.4609976478822785,770.48676177615,355.1925849032386,-0.7462475723556967,-0.7149578646786985,22.015064495420646,300.0,enhanced_biomarker_detection,40200,10783.854800280222,5391.927400140111,0.010580322521082704,0.05120019084345971,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.4682731392662583,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,13.911,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,90.4647326449837,0.0,0.0,0.0,0.013057058173132274,0.5,Low
pTac,RBS8,RFP,T4,toggle_switch,very_high_copy,none,LacI,none,none,1,LacZ,0.8,0.3,0.05,inducible,1.2,2.0,1,0.1,0.9,0.75,0.22,medium,moderate,0.9,0.2,60,fluorescent_protein,0.2,0.015,0.7,558,583,0.85,0.75,weak,0.15,10.0,2.0,4,3,2,3.447411578889518,0.22554447458683766,0.7921446485352182,0.8663618432936917,0.04615092843748656,-0.24065185159459282,-0.8079800538973905,0.1438510760772493,0.13870556516513066,0.019142345763425914,0.11889193081204213,0.02722912552474841,0.04754435738037091,0.24292443710849185,0.013331929996635716,0.6762595947537264,0.047531980423231666,0.10004574992693796,0.002390272687356345,0.016751275675477465,6.759348148405407,36.19201994610261,0.10730706248124267,0.12367346246702997,0.05836189972884679,817.6832162659009,3.3026058078167444,247.587288295374,1.0,0.0,74.47447447447448,871.5613039256141,53.878087659713195,0.0,0.0,0.0,0.0,876389.7815637822,74.47447447447448,221.6216216216216,0.005540032142799605,8.944219912588121,545.0,0.4394045068315771,611.1111338003753,268.52498636683987,-0.9401999475758677,-0.420209919733431,16.64335108546358,300.0,enhanced_biomarker_detection,40201,8176.83216265901,4088.416081329505,0.012774111303302613,0.04919201994610261,4,3,1000,biomarker_responsive_stochastic,enhanced_biomarker_detection,0.0,excellent,low,medium,very_high,0.4741861986923297,p53,protein,ng/mL,27.822,48.7803,53000,1.8e-11,60,13.911,toggle_switch,"{""nodes"": [{""id"": ""main_gene"", ""promoter"": ""pTac"", ""rbs"": ""RBS8"", ""cds"": ""RFP"", ""terminator"": ""T4""}, {""id"": ""secondary_gene_1"", ""cds"": ""LacZ""}, {""id"": ""repressor"", ""type"": ""LacI""}], ""edges"": [{""from"": ""repressor"", ""to"": ""main_gene"", ""type"": ""repression""}]}",False,True,0.0,0.0,1.0,0.0,63.78590508316343,0.0,0.0,0.0,0.013057058173132274,0.5,Low
